Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Month,is_holiday,pre_holiday,post_holiday,Weekly_Sales_MA30,holiday_sales_impact,temp_fuel_interaction,Day,Lag1_Day
2010-02-26,1409727.59,0,46.63,2.561,211.3196429,8.106,2,0,0,0,1576836.025,0.0,119.41943,26,
2010-03-05,1554806.68,0,46.5,2.625,211.3501429,8.106,3,0,0,0,1554614.9699999995,0.0,122.0625,5,26.0
2010-03-12,1439541.59,0,57.79,2.667,211.3806429,8.106,3,0,0,0,1504011.0075,0.0,154.12592999999998,12,5.0
2010-03-19,1472515.79,0,54.58,2.72,211.215635,8.106,3,0,0,0,1469147.9125,0.0,148.4576,19,12.0
2010-03-26,1404429.92,0,51.45,2.732,211.0180424,8.106,3,0,0,0,1467823.495,0.0,140.56140000000002,26,19.0
2010-04-02,1594968.28,0,62.27,2.719,210.8204499,7.808,4,0,0,0,1477863.895,0.0,169.31213,2,26.0
2010-04-09,1545418.53,0,65.86,2.77,210.6228574,7.808,4,0,0,0,1504333.13,0.0,182.4322,9,2.0
2010-04-16,1466058.28,0,66.32,2.808,210.4887,7.808,4,0,0,0,1502718.7525,0.0,186.22655999999998,16,9.0
2010-04-23,1391256.12,0,64.84,2.795,210.4391228,7.808,4,0,0,0,1499425.3025,0.0,181.2278,23,16.0
2010-04-30,1425100.71,0,67.41,2.78,210.3895456,7.808,4,0,0,0,1456958.41,0.0,187.39979999999997,30,23.0
2010-05-07,1603955.12,0,72.55,2.835,210.3399684,7.808,5,0,0,0,1471592.5575,0.0,205.67925,7,30.0
2010-05-14,1494251.5,0,74.78,2.854,210.3374261,7.808,5,0,0,0,1478640.8625,0.0,213.42212,14,7.0
2010-05-21,1399662.07,0,76.44,2.826,210.6170934,7.808,5,0,0,0,1480742.35,0.0,216.01944,21,14.0
2010-05-28,1432069.95,0,80.44,2.759,210.8967606,7.808,5,0,0,0,1482484.66,0.0,221.93395999999998,28,21.0
2010-06-04,1615524.71,0,80.69,2.705,211.1764278,7.808,6,0,0,0,1485377.0575,0.0,218.26645,4,28.0
2010-06-11,1542561.09,0,80.43,2.668,211.4560951,7.808,6,0,0,0,1497454.455,0.0,214.58724000000004,11,4.0
2010-06-18,1503284.06,0,84.11,2.637,211.4537719,7.808,6,0,0,0,1523359.9525,0.0,221.79807,18,11.0
2010-06-25,1422711.6,0,84.34,2.653,211.3386526,7.808,6,0,0,0,1521020.365,0.0,223.75402,25,18.0
2010-07-02,1492418.14,0,80.91,2.669,211.2235333,7.787,7,0,0,0,1490243.7225,0.0,215.94879,2,25.0
2010-07-09,1546074.18,0,80.48,2.642,211.108414,7.787,7,0,0,0,1491121.995,0.0,212.62816,9,2.0
2010-07-16,1448938.92,0,83.15,2.623,211.1003854,7.787,7,0,0,0,1477535.71,0.0,218.10245000000003,16,9.0
2010-07-23,1385065.2,0,83.36,2.608,211.2351443,7.787,7,0,0,0,1468124.11,0.0,217.40288,23,16.0
2010-07-30,1371986.6,0,81.84,2.64,211.3699032,7.787,7,0,0,0,1438016.225,0.0,216.0576,30,23.0
2010-08-06,1605491.78,0,87.16,2.627,211.5046621,7.787,8,0,0,0,1452870.625,0.0,228.96931999999998,6,30.0
2010-08-13,1508237.76,0,87.0,2.692,211.6394211,7.787,8,0,0,0,1467695.335,0.0,234.204,13,6.0
2010-08-20,1513080.49,0,86.65,2.664,211.6033633,7.787,8,0,0,0,1499699.1575,0.0,230.83560000000003,20,13.0
2010-08-27,1449142.92,0,85.22,2.619,211.5673056,7.787,8,0,0,0,1518988.2374999998,0.0,223.19118,27,20.0
2010-09-03,1540163.53,0,81.21,2.577,211.5312479,7.787,9,0,1,0,1502656.175,0.0,209.27817,3,27.0
2010-09-10,1507460.69,1,78.69,2.565,211.4951902,7.787,9,0,0,0,1502461.9074999995,1502461.9074999995,201.83984999999998,10,3.0
2010-09-17,1430378.67,0,82.11,2.582,211.5224596,7.787,9,0,0,1,1481786.4525,0.0,212.00802,17,10.0
2010-09-24,1351791.03,0,80.94,2.624,211.5972246,7.787,9,0,0,0,1457448.48,0.0,212.38656,24,17.0
2010-10-01,1453329.5,0,71.89,2.603,211.6719895,7.838,10,0,0,0,1435739.9725,0.0,187.12967,1,24.0
2010-10-08,1508239.93,0,63.93,2.633,211.7467544,7.838,10,0,0,0,1435934.7824999995,0.0,168.32769,8,1.0
2010-10-15,1459409.1,0,67.18,2.72,211.8137436,7.838,10,0,0,0,1443192.39,0.0,182.72960000000003,15,8.0
2010-10-22,1345454.0,0,69.86,2.725,211.8612937,7.838,10,0,0,0,1441608.1325,0.0,190.3685,22,15.0
2010-10-29,1384209.22,0,69.64,2.716,211.9088438,7.838,10,0,0,0,1424328.0625,0.0,189.14224000000002,29,22.0
2010-11-05,1551659.28,0,58.74,2.689,211.9563939,7.838,11,0,0,0,1435182.9,0.0,157.95186,5,29.0
2010-11-12,1494479.49,0,59.61,2.728,212.003944,7.838,11,0,0,0,1443950.4975,0.0,162.61608,12,5.0
2010-11-19,1483784.18,0,51.41,2.771,211.8896737,7.838,11,0,1,0,1478533.0425,0.0,142.45710999999997,19,12.0
2010-11-26,1955624.11,1,64.52,2.735,211.7484333,7.838,11,0,0,0,1621386.765,1621386.765,176.46219999999997,26,19.0
2010-12-03,1548033.78,0,49.27,2.708,211.607193,7.838,12,0,0,1,1620480.39,0.0,133.42316000000002,3,26.0
2010-12-10,1682614.26,0,46.33,2.843,211.4659526,7.838,12,0,0,0,1667514.0825,0.0,131.71618999999998,10,3.0
2010-12-17,1891034.93,0,49.84,2.869,211.4053124,7.838,12,0,0,0,1769326.77,0.0,142.99096000000003,17,10.0
2010-12-24,2387950.2,0,52.33,2.886,211.4051222,7.838,12,1,1,0,1877408.2925,0.0,151.02438,24,17.0
2010-12-31,1367320.01,1,48.43,2.943,211.4049321,7.838,12,1,0,0,1832229.85,1832229.85,142.52949,31,24.0
2011-01-07,1444732.28,0,48.27,2.976,211.4047419,7.742,1,0,0,1,1772759.355,0.0,143.65152,7,31.0
2011-01-14,1391013.96,0,35.4,2.983,211.4574109,7.742,1,0,0,0,1647754.1125000005,0.0,105.5982,14,7.0
2011-01-21,1327405.42,0,44.04,3.016,211.8272343,7.742,1,0,0,0,1382617.9175,0.0,132.82464,21,14.0
2011-01-28,1316899.31,0,43.83,3.01,212.1970577,7.742,1,0,0,0,1370012.7425,0.0,131.92829999999998,28,21.0
2011-02-04,1606629.58,0,42.27,2.989,212.5668812,7.742,2,0,1,0,1410487.0675,0.0,126.34503000000001,4,28.0
2011-02-11,1649614.93,1,36.39,3.022,212.9367046,7.742,2,0,0,0,1475137.31,1475137.31,109.97058,11,4.0
2011-02-18,1686842.78,0,57.36,3.045,213.2478853,7.742,2,0,0,1,1564996.65,0.0,174.6612,18,11.0
2011-02-25,1456800.28,0,62.9,3.065,213.535609,7.742,2,0,0,0,1599971.8924999998,0.0,192.7885,25,18.0
2011-03-04,1636263.41,0,59.58,3.288,213.8233327,7.742,3,0,0,0,1607380.35,0.0,195.89903999999999,4,25.0
2011-03-11,1553191.63,0,53.56,3.459,214.1110564,7.742,3,0,0,0,1583274.525,0.0,185.26404000000002,11,4.0
2011-03-18,1576818.06,0,62.76,3.488,214.3627114,7.742,3,0,0,0,1555768.3450000002,0.0,218.90688,18,11.0
2011-03-25,1541102.38,0,69.97,3.473,214.5999389,7.742,3,0,0,0,1576843.87,0.0,243.00581,25,18.0
2011-04-01,1495064.75,0,59.17,3.524,214.8371664,7.682,4,0,0,0,1541544.205,0.0,208.51508,1,25.0
2011-04-08,1614259.35,0,67.84,3.622,215.0743939,7.682,4,0,0,0,1556811.135,0.0,245.71648000000002,8,1.0
2011-04-15,1559889.0,0,71.27,3.743,215.2918561,7.682,4,0,0,0,1552578.87,0.0,266.76360999999997,15,8.0
2011-04-22,1564819.81,0,72.99,3.807,215.4599053,7.682,4,0,0,0,1558508.2275,0.0,277.87293,22,15.0
2011-04-29,1455090.69,0,72.03,3.81,215.6279544,7.682,4,0,0,0,1548514.7125,0.0,274.4343,29,22.0
2011-05-06,1629391.28,0,64.61,3.906,215.7960035,7.682,5,0,0,0,1552297.695,0.0,252.36666,6,29.0
2011-05-13,1604775.58,0,75.64,3.899,215.9640526,7.682,5,0,0,0,1563519.34,0.0,294.92036,13,6.0
2011-05-20,1428218.27,0,67.63,3.907,215.7339202,7.682,5,0,0,0,1529368.955,0.0,264.23041,20,13.0
2011-05-27,1466046.67,0,77.72,3.786,215.5037878,7.682,5,0,0,0,1532107.95,0.0,294.24792,27,20.0
2011-06-03,1635078.41,0,83.0,3.699,215.2736553,7.682,6,0,0,0,1533529.7325,0.0,307.017,3,27.0
2011-06-10,1588948.32,0,83.13,3.648,215.0435229,7.682,6,0,0,0,1529572.9175,0.0,303.25824,10,3.0
2011-06-17,1532114.86,0,86.41,3.637,214.9980596,7.682,6,0,0,0,1555547.065,0.0,314.27317,17,10.0
2011-06-24,1438830.15,0,83.58,3.594,215.0910982,7.682,6,0,0,0,1548742.935,0.0,300.38651999999996,24,17.0
2011-07-01,1488538.09,0,85.55,3.524,215.1841368,7.962,7,0,0,0,1512107.855,0.0,301.4782,1,24.0
2011-07-08,1534849.64,0,85.83,3.48,215.2771754,7.962,7,0,0,0,1498583.185,0.0,298.6884,8,1.0
2011-07-15,1455119.97,0,88.54,3.575,215.3611087,7.962,7,0,0,0,1479334.4625,0.0,316.5305,15,8.0
2011-07-22,1396926.82,0,85.77,3.651,215.4222784,7.962,7,0,0,0,1468858.63,0.0,313.14626999999996,22,15.0
